ano,parlamentar,entidade_beneficiada,municipio,cnpj,orgao,objeto,valor
2018,ABELARDO CAMARINHA,APAE DE MARÍLIA,MARÍLIA,52.061.264/0001-59,SAÚDE,CUSTEIO,100000.0
2018,ABELARDO CAMARINHA,ASS DE COMBATE AO CÂNCER DE MARÍLIA E REGIÃO,MARÍLIA,59.990.960/0001-99,SAÚDE,CUSTEIO,100000.0
2018,ABELARDO CAMARINHA,ASS. FEMININA DE MARÍLIA E MATERNINDADE GOTA DE LEITE,MARÍLIA,52.050.911/0001-27,SAÚDE,CUSTEIO,50000.0
2018,ABELARDO CAMARINHA,ASSOCIAÇÃO BENEFICENTE HOSPITAL UNIVERSITÁRIO,MARÍLIA,09.528.436/0001-22,SAÚDE,CUSTEIO,500000.0
2018,ABELARDO CAMARINHA,ASSOCIAÇÃO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE MARÍLIA,MARÍLIA,52.061.264/0001-59,SAÚDE,CUSTEIO,50000.0
2018,ABELARDO CAMARINHA,HOSPITAL DAS CLÍNICAS DE MARÍLIA,MARÍLIA,09.161.265/0001-99,SAÚDE,CUSTEIO,195000.0
2018,ABELARDO CAMARINHA,HOSPITAL ESPÍRITA DE MARÍLIA,MARÍLIA,52.050.010/0001-35,SAÚDE,CUSTEIO,100000.0
2018,ABELARDO CAMARINHA,IRMANDADE DE SANTA CASA DE MISERICÓRDIA DE LINS,LINS,51.660.082/0001-31,SAÚDE,CUSTEIO,100000.0
2018,ABELARDO CAMARINHA,IRMANDADE DE SANTA CASA DE MISERICÓRDIA DE MARÍLIA,MARÍLIA,52.049.244/0001-62,SAÚDE,CUSTEIO,100000.0
2018,ABELARDO CAMARINHA,SANTA CASA DE MISERICÓRDIA DE PACAEMBU,PACAEMBU,53.524.534/0001-83,SAÚDE,CUSTEIO,100000.0
2018,ABELARDO CAMARINHA,SECRETARIA MUNICIPAL DE SAÚDE DE CAFELÂNDIA,CAFELÂNDIA,46.186.375/0001-99,SAÚDE,CUSTEIO,100000.0
2018,ABELARDO CAMARINHA,SECRETARIA MUNICIPAL DE SAÚDE DE CANITAR,CANITAR,57.264.517/0001-05,SAÚDE,CUSTEIO,100000.0
2018,ABELARDO CAMARINHA,SECRETARIA MUNICIPAL DE SAÚDE DE GUAIÇARA,GUAIÇARA,46.203.469/0001-29,SAÚDE,CUSTEIO,100000.0
