programa,orgao,finialidade_programa,produto,finialidade_produto,indicador_produto,acao,value_indicador_produto
0150 - PROCESSO LEGISLATIVO,01000 - ASSEMBLEIA LEGISLATIVA,FINALÍSTICO,PRODUTO: SESSÕES LEGISLATIVAS,FINALÍSTICO,SESSÕES LEGISLATIVAS REALIZADAS (UNIDADE),4817 - FUNCIONAMENTO DO PROCESSO LEGISLATIVO,305.0
0150 - PROCESSO LEGISLATIVO,01000 - ASSEMBLEIA LEGISLATIVA,FINALÍSTICO,PRODUTO: DIVULGAÇÃO DE AÇÕES DE PUBLICIDADE INSTITUCIONAL,MELHORIA DE GESTÃO,NÚMERO DE AÇÕES DE COMUNICAÇÃO INSTITUCIONAL REALIZADAS (UNIDADE),6275 - PUBLICIDADE INSTITUCIONAL DA ASSEMBLEIA LEGISLATIVA DO ESTADO DE SÃO PAULO,1.0
0150 - PROCESSO LEGISLATIVO,01000 - ASSEMBLEIA LEGISLATIVA,FINALÍSTICO,PRODUTO: FUNCIONÁRIOS PARTICIPANTES DE CAPACITAÇÃO E DESENVOLVIMENTO HUMANO,MELHORIA DE GESTÃO,FUNCIONÁRIOS PARTICIPANTES (UNIDADE),4818 - DESENVOLVIMENTO DE RECURSOS HUMANOS,600.0
0150 - PROCESSO LEGISLATIVO,01000 - ASSEMBLEIA LEGISLATIVA,FINALÍSTICO,PRODUTO: HORAS PRODUZIDAS E TRANSMITIDAS PELA TV ALESP,MELHORIA DE GESTÃO,HORAS DE PRODUÇÃO E TRANSMISSÃO DA TV ALESP (UNIDADE),4508 - DIVULGAÇÃO DOS TRABALHOS LEGISLATIVOS,2880.0
0150 - PROCESSO LEGISLATIVO,01000 - ASSEMBLEIA LEGISLATIVA,FINALÍSTICO,PRODUTO: EVENTOS REALIZADOS,MELHORIA DE GESTÃO,EVENTOS REALIZADOS (UNIDADE),6320 - ESTUDOS E PESQUISAS PARA SUBSIDIAR ATIVIDADES POLÍTICAS,30.0
0150 - PROCESSO LEGISLATIVO,01000 - ASSEMBLEIA LEGISLATIVA,FINALÍSTICO,"PRODUTO: OBRAS, ADAPTAÇÕES E/OU REFORMAS NO PALÁCIO 9 DE JULHO",MELHORIA DE GESTÃO,OBRAS E/OU ADAPTAÇÕES REALIZADAS (UNIDADE),1215 - EXPANSÃO E ADEQUAÇÃO DAS INSTALAÇÕES DO PALÁCIO 9 DE JULHO,8.0
0150 - PROCESSO LEGISLATIVO,01000 - ASSEMBLEIA LEGISLATIVA,FINALÍSTICO,PRODUTO: PROCESSOS INFORMATIZADOS,MELHORIA DE GESTÃO,PROCESSOS INFORMATIZADOS (UNIDADE),4820 - DESENVOLVIMENTO DE SISTEMAS DE INFORMAÇÃO,120.0
0150 - PROCESSO LEGISLATIVO,01000 - ASSEMBLEIA LEGISLATIVA,FINALÍSTICO,PRODUTO: EQUIPAMENTOS EM REDE E SISTEMAS,MELHORIA DE GESTÃO,EQUIPAMENTOS EM REDE E SISTEMAS (UNIDADE),5701 - GERENCIAMENTO DE RECURSOS DE TECNOLOGIA DA INFORMAÇÃO E COMUNICAÇÃO,24640.0
0200 - CONTROLE EXTERNO,02000 - TRIBUNAL DE CONTAS DO ESTADO,FINALÍSTICO,PRODUTO: FISCALIZAÇÕES REALIZADAS,FINALÍSTICO,FISCALIZAÇÕES ORDINÁRIAS REALIZADAS (UNIDADE),4821 - CONTROLE E FISCALIZAÇÃO FINANCEIRA E ORÇAMENTÁRIA,3289.0
0200 - CONTROLE EXTERNO,02000 - TRIBUNAL DE CONTAS DO ESTADO,FINALÍSTICO,PRODUTO: CAPACITAÇÃO DE SERVIDORES,MELHORIA DE GESTÃO,CARGA HORÁRIA DE CAPACITAÇÃO DE SERVIDOR (H/AULA),6304 - PLANO DE CAPACITAÇÃO DE SERVIDORES DO TCE/SP,40.0
