programa,orgao,objetivo_estrategico,diagnostico,objetivo,publico_alvo,abrangencia_espacial,finialidade_programa,indicador_programa,fonte_informacao_programa,periodo_transferencia_programa,valor_mais_recente_programa,meta_final_ppa_programa
0815 - GESTÃO INSTITUCIONAL DA SECRETARIA DA EDUCAÇÃO,08000 - SECRETARIA DA EDUCAÇÃO,5. DESENVOLVIMENTO SOCIAL GARANTINDO OS DIREITOS INDIVIDUAIS E COLETIVOS EPROMOVENDO A AUTONOMIA PLENA.,A REDE ESTADUAL DE ENSINO DE SÃO PAULO APRESENTA ESTRUTURA DE GESTÃO DESPROPORCIONAL AOSSEUS DESAFIOS E AS DISFUNÇÕES DA BUROCRACIA DIFICULTAM A AGILIDADE NA AQUISIÇÃO DE  SERVIÇOSDE QUALIDADE A PREÇOS JUSTOS. HÁ NÍVEIS ELEVADOS DE ABSENTEÍSMO DOCENTE E A BAIXAREMUNERAÇÃO DE PROFESSORES E DE GESTORES DE ALTA RESPONSABILIDADE COMPROMETE A ATRAÇÃOE A RETENÇÃO DE TALENTOS. TORNA-SE NECESSÁRIO ADOTAR ESTRATÉGIAS DE VALORIZAÇÃO DACARREIRA DO MAGISTÉRIO E DO CARGO DE GESTÃO E MELHORAR O PROCESSO DE AVALIAÇÃO DEDESEMPENHO DOS PROFISSIONAIS DA EDUCAÇÃO PARA MAIOR QUALIDADE DO ENSINO-APRENDIZAGEM.,"SSEGURAR O FUNCIONAMENTO DA ESTRUTURA DA SECRETARIA DA EDUCAÇÃO COM AMBIENTESCOLAR ADEQUADO À APRENDIZAGEM DAS COMPETÊNCIAS DO SÉCULO XXI, COM MELHORIA EODERNIZAÇÃO DOS RECURSOS DE TECNOLOGIA E COMUNICAÇÃO. PROMOVER AONFORMIDADE DOS PROCESSOS DE GESTÃO PARA EFICIÊNCIA OPERACIONAL E QUALIDADE DOASTO PÚBLICO, PROFISSIONALIZANDO A GESTÃO, VALORIZANDO E CUIDANDO DOSROFISSIONAIS DA EDUCAÇÃO",ALUNOS E PROFISSIONAIS DA REDE ESTADUAL DE EDUCAÇÃO.,ESTADO,FINALÍSTICO,NÚMERO DE AMBIENTES PEDAGÓGICOS PARA IMPLEMENTAÇÃO DOCURRÍCULO PAULISTA (UNIDADE),CADASTRO DE ESCOLAS,2018,3707.0,3896.0
0815 - GESTÃO INSTITUCIONAL DA SECRETARIA DA EDUCAÇÃO,08000 - SECRETARIA DA EDUCAÇÃO,5. DESENVOLVIMENTO SOCIAL GARANTINDO OS DIREITOS INDIVIDUAIS E COLETIVOS EPROMOVENDO A AUTONOMIA PLENA.,A REDE ESTADUAL DE ENSINO DE SÃO PAULO APRESENTA ESTRUTURA DE GESTÃO DESPROPORCIONAL AOSSEUS DESAFIOS E AS DISFUNÇÕES DA BUROCRACIA DIFICULTAM A AGILIDADE NA AQUISIÇÃO DE  SERVIÇOSDE QUALIDADE A PREÇOS JUSTOS. HÁ NÍVEIS ELEVADOS DE ABSENTEÍSMO DOCENTE E A BAIXAREMUNERAÇÃO DE PROFESSORES E DE GESTORES DE ALTA RESPONSABILIDADE COMPROMETE A ATRAÇÃOE A RETENÇÃO DE TALENTOS. TORNA-SE NECESSÁRIO ADOTAR ESTRATÉGIAS DE VALORIZAÇÃO DACARREIRA DO MAGISTÉRIO E DO CARGO DE GESTÃO E MELHORAR O PROCESSO DE AVALIAÇÃO DEDESEMPENHO DOS PROFISSIONAIS DA EDUCAÇÃO PARA MAIOR QUALIDADE DO ENSINO-APRENDIZAGEM.,"SSEGURAR O FUNCIONAMENTO DA ESTRUTURA DA SECRETARIA DA EDUCAÇÃO COM AMBIENTESCOLAR ADEQUADO À APRENDIZAGEM DAS COMPETÊNCIAS DO SÉCULO XXI, COM MELHORIA EODERNIZAÇÃO DOS RECURSOS DE TECNOLOGIA E COMUNICAÇÃO. PROMOVER AONFORMIDADE DOS PROCESSOS DE GESTÃO PARA EFICIÊNCIA OPERACIONAL E QUALIDADE DOASTO PÚBLICO, PROFISSIONALIZANDO A GESTÃO, VALORIZANDO E CUIDANDO DOSROFISSIONAIS DA EDUCAÇÃO",ALUNOS E PROFISSIONAIS DA REDE ESTADUAL DE EDUCAÇÃO.,ESTADO,FINALÍSTICO,NÚMERO DE PROCESSOS AUTOMATIZADOS PARA EFICIÊNCIA (UNIDADE),DADOS GERENCIAIS DACHEFIA DE GABINETE,,,12.0
0815 - GESTÃO INSTITUCIONAL DA SECRETARIA DA EDUCAÇÃO,08000 - SECRETARIA DA EDUCAÇÃO,5. DESENVOLVIMENTO SOCIAL GARANTINDO OS DIREITOS INDIVIDUAIS E COLETIVOS EPROMOVENDO A AUTONOMIA PLENA.,A REDE ESTADUAL DE ENSINO DE SÃO PAULO APRESENTA ESTRUTURA DE GESTÃO DESPROPORCIONAL AOSSEUS DESAFIOS E AS DISFUNÇÕES DA BUROCRACIA DIFICULTAM A AGILIDADE NA AQUISIÇÃO DE  SERVIÇOSDE QUALIDADE A PREÇOS JUSTOS. HÁ NÍVEIS ELEVADOS DE ABSENTEÍSMO DOCENTE E A BAIXAREMUNERAÇÃO DE PROFESSORES E DE GESTORES DE ALTA RESPONSABILIDADE COMPROMETE A ATRAÇÃOE A RETENÇÃO DE TALENTOS. TORNA-SE NECESSÁRIO ADOTAR ESTRATÉGIAS DE VALORIZAÇÃO DACARREIRA DO MAGISTÉRIO E DO CARGO DE GESTÃO E MELHORAR O PROCESSO DE AVALIAÇÃO DEDESEMPENHO DOS PROFISSIONAIS DA EDUCAÇÃO PARA MAIOR QUALIDADE DO ENSINO-APRENDIZAGEM.,"SSEGURAR O FUNCIONAMENTO DA ESTRUTURA DA SECRETARIA DA EDUCAÇÃO COM AMBIENTESCOLAR ADEQUADO À APRENDIZAGEM DAS COMPETÊNCIAS DO SÉCULO XXI, COM MELHORIA EODERNIZAÇÃO DOS RECURSOS DE TECNOLOGIA E COMUNICAÇÃO. PROMOVER AONFORMIDADE DOS PROCESSOS DE GESTÃO PARA EFICIÊNCIA OPERACIONAL E QUALIDADE DOASTO PÚBLICO, PROFISSIONALIZANDO A GESTÃO, VALORIZANDO E CUIDANDO DOSROFISSIONAIS DA EDUCAÇÃO",ALUNOS E PROFISSIONAIS DA REDE ESTADUAL DE EDUCAÇÃO.,ESTADO,FINALÍSTICO,PERCENTUAL DE ABSENTEÍSMO DOCENTE (%),RELATÓRIO BFE MENSAL EBASE DE DADOS DOHOLERITE MENSAL.,2018,12.89,10.5
1201 - ECONOMIA CRIATIVA,12000 - SECRETARIA DA CULTURA E ECONOMIA CRIATIVA,5. DESENVOLVIMENTO SOCIAL GARANTINDO OS DIREITOS INDIVIDUAIS E COLETIVOS EPROMOVENDO A AUTONOMIA PLENA.,NECESSIDADE DE AMPLIAR E POTENCIALIZAR OS IMPACTOS SÓCIO ECONÔMICOS A SEREM GERADOS PELAECONOMIA CRIATIVA NO ESTADO DE SÃO PAULO.,"ESENVOLVER PROJETOS DE QUALIFICAÇÃO PARA O MERCADO CRIATIVO, DESENVOLVENDOAMBÉM AÇÕES QUE DINAMIZEM A PRODUÇÃO, DISTRIBUIÇÃO, CONSUMO, FRUIÇÃO E ANOVAÇÃO DE SEGMENTOS, BENS E SERVIÇOS CRIATIVOS EM TODO O ESTADO DE SÃO PAULO.","MUNICÍPIOS DO ESTADO, EMPREENDEDORES DOS SEGMENTOS CRIATIVOS E A POPULAÇÃO DOESTADO DE SÃO PAULO.",ESTADO,FINALÍSTICO,"ATIVIDADES REALIZADAS PELOS PROGRAMAS DE DIFUSÃO, BIBLIOTECAE LEITURA (UNIDADE)",RELATÓRIOS DASORGANIZAÇÕES SOCIAIS EUGE,2016-2018,12560.0,12224.0
1201 - ECONOMIA CRIATIVA,12000 - SECRETARIA DA CULTURA E ECONOMIA CRIATIVA,5. DESENVOLVIMENTO SOCIAL GARANTINDO OS DIREITOS INDIVIDUAIS E COLETIVOS EPROMOVENDO A AUTONOMIA PLENA.,NECESSIDADE DE AMPLIAR E POTENCIALIZAR OS IMPACTOS SÓCIO ECONÔMICOS A SEREM GERADOS PELAECONOMIA CRIATIVA NO ESTADO DE SÃO PAULO.,"ESENVOLVER PROJETOS DE QUALIFICAÇÃO PARA O MERCADO CRIATIVO, DESENVOLVENDOAMBÉM AÇÕES QUE DINAMIZEM A PRODUÇÃO, DISTRIBUIÇÃO, CONSUMO, FRUIÇÃO E ANOVAÇÃO DE SEGMENTOS, BENS E SERVIÇOS CRIATIVOS EM TODO O ESTADO DE SÃO PAULO.","MUNICÍPIOS DO ESTADO, EMPREENDEDORES DOS SEGMENTOS CRIATIVOS E A POPULAÇÃO DOESTADO DE SÃO PAULO.",ESTADO,FINALÍSTICO,NÚMERO DE MUNICÍPIOS ATENDIDOS POR ANO PELO PROGRAMAECONOMIA CRIATIVA (UNIDADE),SECRETARIA DE CULTURA EECONOMIA CRIATIVA -RELATÓRIOS DASORGANIZAÇÕES SOCIAIS EUGE,2016-2018,285.0,386.0
1201 - ECONOMIA CRIATIVA,12000 - SECRETARIA DA CULTURA E ECONOMIA CRIATIVA,5. DESENVOLVIMENTO SOCIAL GARANTINDO OS DIREITOS INDIVIDUAIS E COLETIVOS EPROMOVENDO A AUTONOMIA PLENA.,NECESSIDADE DE AMPLIAR E POTENCIALIZAR OS IMPACTOS SÓCIO ECONÔMICOS A SEREM GERADOS PELAECONOMIA CRIATIVA NO ESTADO DE SÃO PAULO.,"ESENVOLVER PROJETOS DE QUALIFICAÇÃO PARA O MERCADO CRIATIVO, DESENVOLVENDOAMBÉM AÇÕES QUE DINAMIZEM A PRODUÇÃO, DISTRIBUIÇÃO, CONSUMO, FRUIÇÃO E ANOVAÇÃO DE SEGMENTOS, BENS E SERVIÇOS CRIATIVOS EM TODO O ESTADO DE SÃO PAULO.","MUNICÍPIOS DO ESTADO, EMPREENDEDORES DOS SEGMENTOS CRIATIVOS E A POPULAÇÃO DOESTADO DE SÃO PAULO.",ESTADO,FINALÍSTICO,"NÚMERO DE PESSOAS ATENDIDAS PELO PROGRAMA DIFUSÃOCULTURAL, BIBLIOTECAS E LEITURA E ECONOMIA CRIATIVA (UNIDADE)",SECRETARIA DE CULTURA EECONOMIA CRIATIVA -RELATÓRIOS DASORGANIZAÇÕES SOCIAIS EUGE,2016-2018,11760000.0,13547250.0
1203 - FORMAÇÃO CULTURAL,12000 - SECRETARIA DA CULTURA E ECONOMIA CRIATIVA,5. DESENVOLVIMENTO SOCIAL GARANTINDO OS DIREITOS INDIVIDUAIS E COLETIVOS EPROMOVENDO A AUTONOMIA PLENA.,"CONDIÇÕES SOCIAIS PRECÁRIAS LIMITAM O PROCESSO DE ACESSIBILIDADE CULTURAL DE SEGMENTOS DAPOPULAÇÃO, PRINCIPALMENTE, CRIANÇAS, ADOLESCENTES, IDOSOS E PORTADORES DE NECESSIDADESESPECIAIS","ROMOVER A FORMAÇÃO E CAPACITAÇÃO CULTURAL DE CRIANÇAS, JOVENS E ADULTOS",POPULAÇÃO DO ESTADO DE SÃO PAULO,ESTADO,FINALÍSTICO,NÚMERO DE PESSOAS ATENDIDAS PELO PROGRAMA DE FORMAÇÃOCULTURAL (UNIDADE),SECRETARIA DE CULTURA EECONOMIA CRIATIVA,,,7200000.0
1203 - FORMAÇÃO CULTURAL,12000 - SECRETARIA DA CULTURA E ECONOMIA CRIATIVA,5. DESENVOLVIMENTO SOCIAL GARANTINDO OS DIREITOS INDIVIDUAIS E COLETIVOS EPROMOVENDO A AUTONOMIA PLENA.,"CONDIÇÕES SOCIAIS PRECÁRIAS LIMITAM O PROCESSO DE ACESSIBILIDADE CULTURAL DE SEGMENTOS DAPOPULAÇÃO, PRINCIPALMENTE, CRIANÇAS, ADOLESCENTES, IDOSOS E PORTADORES DE NECESSIDADESESPECIAIS","ROMOVER A FORMAÇÃO E CAPACITAÇÃO CULTURAL DE CRIANÇAS, JOVENS E ADULTOS",POPULAÇÃO DO ESTADO DE SÃO PAULO,ESTADO,FINALÍSTICO,QUANTIDADE DE PESSOAS FORMADAS E QUALIFICADAS (UNIDADE),SECRETARIA DE CULTURA EECONOMIA CRIATIVA -RELATÓRIOS DASORGANIZAÇÕES SOCIAIS EUGE,,,2240.0
2000 - GESTÃO FISCAL E TRIBUTÁRIA,"53000 - SECRETARIA DE PROJETOS, ORÇAMENTO E  GESTÃO","9. GESTÃO PÚBLICA MODERNA E EFICIENTE, COMPROMETIDA COM A QUALIDADE DOS SERVIÇOSPÚBLICOS, CONTROLE DE GASTOS E TRANSPARÊNCIA.","CENÁRIO DE BAIXO CRESCIMENTO ECONÔMICO E DE INCERTEZAS, EXACERBADAS PELA CONJUNTURACRÍTICA CONSEQUENTE DA PANDEMIA DE COVID-19. TORNA-SE AINDA MAIS DESAFIADORA A GARANTIA DERECURSOS COMPATÍVEIS COM TODAS AS NECESSIDADES ORÇAMENTÁRIAS DO ESTADO E TORNA-SEIMPRESCINDÍVEL AMPLIAR A CAPACIDADE DE GERAÇÃO DE VALOR PÚBLICO COM OS RECURSOS HUMANOS EORÇAMENTÁRIOS DISPONÍVEIS.",ROVER E GERIR RECURSOS FINANCEIROS DE MODO A ASSEGURAR A PRESTAÇÃO DE SERVIÇOSÚBLICOS E OS INVESTIMENTOS DO ESTADO DE SÃO PAULO POR MEIO DAS ATIVIDADESINALÍSTICAS DA SECRETARIA DA FAZENDA E DO ESFORÇO PARA MODERNIZAR PROCESSOS EORTALECER CAPACIDADES GOVERNAMENTAIS.,POPULAÇÃO DO ESTADO DE SÃO PAULO,ESTADO,FINALÍSTICO,COEFICIENTE ENTRE A RECEITA DE IMPOSTOS E O PIB-SP (%),SEFAZ (RELATÓRIOS DEARRECADAÇÃO DAADMINISTRAÇÃOTRIBUTÁRIA) E FUNDAÇÃOSEADE,2018,7.0,6.91
2000 - GESTÃO FISCAL E TRIBUTÁRIA,"53000 - SECRETARIA DE PROJETOS, ORÇAMENTO E  GESTÃO","9. GESTÃO PÚBLICA MODERNA E EFICIENTE, COMPROMETIDA COM A QUALIDADE DOS SERVIÇOSPÚBLICOS, CONTROLE DE GASTOS E TRANSPARÊNCIA.","CENÁRIO DE BAIXO CRESCIMENTO ECONÔMICO E DE INCERTEZAS, EXACERBADAS PELA CONJUNTURACRÍTICA CONSEQUENTE DA PANDEMIA DE COVID-19. TORNA-SE AINDA MAIS DESAFIADORA A GARANTIA DERECURSOS COMPATÍVEIS COM TODAS AS NECESSIDADES ORÇAMENTÁRIAS DO ESTADO E TORNA-SEIMPRESCINDÍVEL AMPLIAR A CAPACIDADE DE GERAÇÃO DE VALOR PÚBLICO COM OS RECURSOS HUMANOS EORÇAMENTÁRIOS DISPONÍVEIS.",ROVER E GERIR RECURSOS FINANCEIROS DE MODO A ASSEGURAR A PRESTAÇÃO DE SERVIÇOSÚBLICOS E OS INVESTIMENTOS DO ESTADO DE SÃO PAULO POR MEIO DAS ATIVIDADESINALÍSTICAS DA SECRETARIA DA FAZENDA E DO ESFORÇO PARA MODERNIZAR PROCESSOS EORTALECER CAPACIDADES GOVERNAMENTAIS.,POPULAÇÃO DO ESTADO DE SÃO PAULO,ESTADO,FINALÍSTICO,NÚMERO DE MEDIDAS DE SIMPLIFICAÇÃO NORMATIVA REFERENTES AOBRIGAÇÕES TRIBUTÁRIAS (UNIDADE),SECRETARIA DA FAZENDA EPLANEJAMENTO,,,210.0
