0,1,2,3,4,5,6,7,8,orgaos,unidade,programas,numero de acoes
AÇÃO,GRUPO DESPESA,FONTE DE RECURSO,,,,,,,ÓRGÃO:   01000 - ASSEMBLEIA LEGISLATIVA,UNIDADE:   01001 - ASSEMBLEIA LEGISLATIVA,PROGRAMA:     0150    PROCESSO LEGISLATIVO,8
01.031.0150.1215,EXPANSÃO E ADEQUAÇÃO DAS INSTALAÇÕES DO PALÁCIO 9DE JULHO,,,10,,,,,ÓRGÃO:   01000 - ASSEMBLEIA LEGISLATIVA,UNIDADE:   01001 - ASSEMBLEIA LEGISLATIVA,PROGRAMA:     0150    PROCESSO LEGISLATIVO,8
,,UTRAS DESPESASORRENTES,,10,,,,,ÓRGÃO:   01000 - ASSEMBLEIA LEGISLATIVA,UNIDADE:   01001 - ASSEMBLEIA LEGISLATIVA,PROGRAMA:     0150    PROCESSO LEGISLATIVO,8
,,,ESOURO DO ESTADO,10,,,,,ÓRGÃO:   01000 - ASSEMBLEIA LEGISLATIVA,UNIDADE:   01001 - ASSEMBLEIA LEGISLATIVA,PROGRAMA:     0150    PROCESSO LEGISLATIVO,8
,,,,,,,,,ÓRGÃO:   01000 - ASSEMBLEIA LEGISLATIVA,UNIDADE:   01001 - ASSEMBLEIA LEGISLATIVA,PROGRAMA:     0150    PROCESSO LEGISLATIVO,8
PRODUTO:,"OBRAS, ADAPTAÇÕES E/OU REFORMAS NO PALÁCIO 9 DE JULHO",,,,,,,,ÓRGÃO:   01000 - ASSEMBLEIA LEGISLATIVA,UNIDADE:   01001 - ASSEMBLEIA LEGISLATIVA,PROGRAMA:     0150    PROCESSO LEGISLATIVO,8
INDICADOR DEPRODUTO:,OBRAS E/OU ADAPTAÇÕES REALIZADAS (unidade),,,,,,,,ÓRGÃO:   01000 - ASSEMBLEIA LEGISLATIVA,UNIDADE:   01001 - ASSEMBLEIA LEGISLATIVA,PROGRAMA:     0150    PROCESSO LEGISLATIVO,8
,,,,,,,,,ÓRGÃO:   01000 - ASSEMBLEIA LEGISLATIVA,UNIDADE:   01001 - ASSEMBLEIA LEGISLATIVA,PROGRAMA:     0150    PROCESSO LEGISLATIVO,8
AÇÃO,GRUPO DESPESA,FONTE DE RECURSO,,,,,,,ÓRGÃO:   01000 - ASSEMBLEIA LEGISLATIVA,UNIDADE:   01001 - ASSEMBLEIA LEGISLATIVA,PROGRAMA:     0150    PROCESSO LEGISLATIVO,8
01.031.0150.4508,DIVULGAÇÃO DOS TRABALHOS LEGISLATIVOS,,,17.636.431,,,,,ÓRGÃO:   01000 - ASSEMBLEIA LEGISLATIVA,UNIDADE:   01001 - ASSEMBLEIA LEGISLATIVA,PROGRAMA:     0150    PROCESSO LEGISLATIVO,8
,,UTRAS DESPESASORRENTES,,17.636.431,,,,,ÓRGÃO:   01000 - ASSEMBLEIA LEGISLATIVA,UNIDADE:   01001 - ASSEMBLEIA LEGISLATIVA,PROGRAMA:     0150    PROCESSO LEGISLATIVO,8
,,,ESOURO DO ESTADO,17.636.431,,,,,ÓRGÃO:   01000 - ASSEMBLEIA LEGISLATIVA,UNIDADE:   01001 - ASSEMBLEIA LEGISLATIVA,PROGRAMA:     0150    PROCESSO LEGISLATIVO,8
,,,,,,,,,ÓRGÃO:   01000 - ASSEMBLEIA LEGISLATIVA,UNIDADE:   01001 - ASSEMBLEIA LEGISLATIVA,PROGRAMA:     0150    PROCESSO LEGISLATIVO,8
PRODUTO:,HORAS PRODUZIDAS E TRANSMITIDAS PELA TV ALESP,,,,,,,,ÓRGÃO:   01000 - ASSEMBLEIA LEGISLATIVA,UNIDADE:   01001 - ASSEMBLEIA LEGISLATIVA,PROGRAMA:     0150    PROCESSO LEGISLATIVO,8
INDICADOR DEPRODUTO:,HORAS DE PRODUÇÃO E TRANSMISSÃO DA TV ALESP (unidade),,,,,,,,ÓRGÃO:   01000 - ASSEMBLEIA LEGISLATIVA,UNIDADE:   01001 - ASSEMBLEIA LEGISLATIVA,PROGRAMA:     0150    PROCESSO LEGISLATIVO,8
META:,2.880,,,,,,,,ÓRGÃO:   01000 - ASSEMBLEIA LEGISLATIVA,UNIDADE:   01001 - ASSEMBLEIA LEGISLATIVA,PROGRAMA:     0150    PROCESSO LEGISLATIVO,8
AÇÃO,GRUPO DESPESA,FONTE DE RECURSO,,,,,,,ÓRGÃO:   01000 - ASSEMBLEIA LEGISLATIVA,UNIDADE:   01001 - ASSEMBLEIA LEGISLATIVA,PROGRAMA:     0150    PROCESSO LEGISLATIVO,8
01.031.0150.4817,FUNCIONAMENTO DO PROCESSO LEGISLATIVO,,,1.237.302.665,,,,,ÓRGÃO:   01000 - ASSEMBLEIA LEGISLATIVA,UNIDADE:   01001 - ASSEMBLEIA LEGISLATIVA,PROGRAMA:     0150    PROCESSO LEGISLATIVO,8
,,ESSOAL E ENCARGOSOCIAIS,,1.052.362.217,,,,,ÓRGÃO:   01000 - ASSEMBLEIA LEGISLATIVA,UNIDADE:   01001 - ASSEMBLEIA LEGISLATIVA,PROGRAMA:     0150    PROCESSO LEGISLATIVO,8
,,,ESOURO DO ESTADO,1.052.362.217,,,,,ÓRGÃO:   01000 - ASSEMBLEIA LEGISLATIVA,UNIDADE:   01001 - ASSEMBLEIA LEGISLATIVA,PROGRAMA:     0150    PROCESSO LEGISLATIVO,8
,,UTRAS DESPESASORRENTES,,184.940.448,,,,,ÓRGÃO:   01000 - ASSEMBLEIA LEGISLATIVA,UNIDADE:   01001 - ASSEMBLEIA LEGISLATIVA,PROGRAMA:     0150    PROCESSO LEGISLATIVO,8
,,,ESOURO DO ESTADO,184.940.448,,,,,ÓRGÃO:   01000 - ASSEMBLEIA LEGISLATIVA,UNIDADE:   01001 - ASSEMBLEIA LEGISLATIVA,PROGRAMA:     0150    PROCESSO LEGISLATIVO,8
,,,,,,,,,ÓRGÃO:   01000 - ASSEMBLEIA LEGISLATIVA,UNIDADE:   01001 - ASSEMBLEIA LEGISLATIVA,PROGRAMA:     0150    PROCESSO LEGISLATIVO,8
PRODUTO:,SESSÕES LEGISLATIVAS,,,,,,,,ÓRGÃO:   01000 - ASSEMBLEIA LEGISLATIVA,UNIDADE:   01001 - ASSEMBLEIA LEGISLATIVA,PROGRAMA:     0150    PROCESSO LEGISLATIVO,8
